,id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup
91,964,Kyle Bartley,30,2581,3,2.601400323,1,0.759965025,14,7,4,0,D S,West Bromwich Albion,3,2.601400323,2.48464941,1.499340111
92,1017,Matej Vydra,27,1322,3,5.373272832,2,2.118340734,35,14,0,0,F S,Burnley,3,5.373272832,6.425857455,1.04720401
93,1653,Michael Keane,34,2896,3,1.504691659,1,1.085252827,16,7,4,0,D S,Everton,3,1.504691659,6.840392815,6.564230027
94,1740,Paul Pogba,26,1893,3,2.988202846,3,2.066863002,31,24,3,0,M S,Manchester United,3,2.988202846,11.69147341,7.444205396
95,2335,Pablo Fornals,32,2513,3,5.854254933,3,2.054639482,46,28,3,0,F M S,West Ham,3,5.854254933,14.86823065,8.320599707
96,3293,Lucas Moura,30,1392,3,1.946632659,4,2.064035285,18,16,1,0,F M S,Tottenham,3,1.946632659,7.514037959,5.200064562
97,3428,Hélder Costa,22,1152,3,2.598154854,3,0.628333788,16,7,0,0,M S,Leeds,3,2.598154854,4.516011324,2.207326274
98,3491,Romain Saiss,26,2319,3,3.099967915,0,0.648439959,27,4,2,0,D,Wolverhampton Wanderers,3,3.099967915,4.538973004,3.720982972
99,3683,Ivan Cavaleiro,36,2477,3,5.54866669,0,2.680473936,47,42,2,0,D F M S,Fulham,2,4.02632897,8.240886439,2.856730102
100,4422,Ashley Barnes,21,1341,3,3.874066237,0,0.800547515,38,19,4,0,F M S,Burnley,2,3.11289737,4.190315293,1.198629176
101,5587,Josh Maja,15,809,3,4.918053389,0,0.742830269,21,7,0,0,F S,Fulham,2,4.156884551,4.449021198,0.645543974
102,5595,Daniel James,14,830,3,1.943296812,0,0.740844136,16,7,3,0,M S,Manchester United,3,1.943296812,4.284207717,1.735916318
103,5962,Tanguy NDombele Alvaro,33,2141,3,1.530481542,2,2.126333596,18,14,3,0,M S,Tottenham,3,1.530481542,10.93496512,8.00578513
104,6144,Sébastien Haller,16,933,3,2.554668181,0,1.134867813,25,10,0,0,F S,West Ham,3,2.554668181,3.660330243,0.852948932
105,7712,Billy Sharp,16,723,3,2.983076898,0,0.583278213,9,4,1,0,F S,Sheffield United,1,1.460739223,2.650699468,0.66489535
106,7723,John McGinn,37,3330,3,2.166595253,5,3.50175766,45,42,12,0,M,Aston Villa,3,2.166595253,14.86826731,9.945619265
107,8239,Takumi Minamino,18,941,3,2.557263045,0,0.762515012,18,4,1,0,F M S,"Liverpool,Southampton",3,2.557263045,5.954795577,2.76779745
108,8291,Daniel Podence,24,1718,3,2.744377876,2,1.839432783,32,21,3,0,F M S,Wolverhampton Wanderers,3,2.744377876,6.725102685,2.910881344
109,9290,Mbaye Diagne,16,1205,3,6.247825153,2,0.986100741,25,10,2,0,F S,West Bromwich Albion,3,6.247825153,8.729950741,1.773010155
110,343,Pierre-Emile Højbjerg,38,3420,2,1.137927259,4,1.755895049,14,16,9,0,M,Tottenham,2,1.137927259,16.2058085,14.68037922
111,619,Sergio Agüero,11,533,2,3.002215546,1,1.315659788,15,7,0,0,F M S,Manchester City,1,1.479877862,3.363660451,1.145450454
112,725,Ola Aina,31,2683,2,0.847976466,1,1.552727966,14,15,3,0,D M,Fulham,2,0.847976466,6.773145352,6.120467253
113,757,Jeffrey Schlupp,27,1424,2,2.015115544,3,2.572582504,18,18,3,0,M S,Crystal Palace,2,2.015115544,5.158029245,3.466956737
114,766,Jamaal Lascelles,19,1633,2,0.765354833,0,0.066882778,16,2,4,0,D,Newcastle United,2,0.765354833,2.606449857,2.349907726
115,770,Ayoze Pérez,25,1326,2,4.036575317,1,1.248606492,31,23,2,0,F M S,Leicester,2,4.036575317,9.872759374,6.759955797
116,771,Georginio Wijnaldum,38,2961,2,2.817426797,0,1.662921851,31,21,1,0,M S,Liverpool,2,2.817426797,13.92218181,10.47627684
117,790,Nathan Redmond,28,1628,2,3.793102963,3,2.987433795,44,22,1,0,F M S,Southampton,2,3.793102963,8.591277279,3.182593115
118,807,Jonny Evans,28,2483,2,1.855712767,2,0.53863108,8,10,7,0,D,Leicester,2,1.855712767,8.73060951,7.942966703
119,900,Adama Traoré,36,2604,2,1.995262245,2,5.228081337,41,54,4,0,D F M S,Wolverhampton Wanderers,2,1.995262245,9.373141573,3.006398071
120,1024,Tyrone Mings,36,3194,2,2.061612615,2,0.376271466,19,7,4,1,D,Aston Villa,2,2.061612615,6.932438758,6.708538291
121,1621,Marcos Alonso,13,962,2,1.824078284,0,1.721699378,22,15,2,0,D S,Chelsea,2,1.824078284,4.643395733,2.536423624
